id;description;information;brand;code_1;code_2;category;id_integration;code_integration;NCM;CEST;sale_unit;sale_unit_description;multiple_of_sale;physical_stock;available_stock;localization;promotion_date_initial;promotion_date_final;promotion_day;promotion_price;has_image;
315;FITA ISOLANTE 5 METROS PERFORMANCE;;TIGRE;;;000156;;1000900;39191090;1000900;UN;UNIDADE;1;0;0;;;;-------;0;0;
316;FITA ISOLANTE 10 METROS PERFORMANCE;;TIGRE;;;000156;;1000900;39191090;1000900;UN;UNIDADE;1;0;0;;;;-------;0;0;
317;FITA ISOLANTE 20 METROS PERFORMANCE;;TIGRE;;;000156;;1000900;39191090;1000900;UN;UNIDADE;1;0;0;;;;-------;0;0;
336;PARAF AUTO ATARRAXANTE PANELA PHILIPS 4,2X22 MM;;;;;000236;;1005800;73181400;1005800;CT;CENTO;0,01;8,11;8,11;C8: O-11;;;-------;0;0;
337;PARAF AUTO ATARRAXANTE PANELA PHILIPS 4,2X32 MM;;;;;000236;;1005800;73181400;1005800;CT;CENTO;0,01;18,47;18,47;C8: O-10;;;-------;0;0;
338;PARAF AUTO ATARRAXANTE PANELA PHILIPS 5,5X13 MM;;;;;000236;;1005800;73181400;1005800;CT;CENTO;0,01;7,8;7,8;;;;;0;0;
339;PARAF AUTO ATARRAXANTE PANELA PHILIPS 5,5X38 MM;;;;;000236;;1005800;73181500;1005800;CT;CENTO;0,01;2,29;2,29;C8: O-20;;;-------;0;0;
340;PARAF AUTO ATARRAXANTE PANELA PHILIPS 5,5X50 MM;;;;;000236;;1005800;73181400;1005800;CT;CENTO;0,01;4,88;4,88;C8: O-19;;;-------;0;0;
341;PARAF AUTO ATARRAXANTE PANELA PHILIPS 6,3X13 MM ZINCADO PRETO;;;;;000236;;1005800;73181400;1005800;CT;CENTO;0,01;0,85;0,85;;;;;0;0;
343;PARAF AUTO ATARRAXANTE PANELA PHILIPS 6,3X38 MM;;;;;000236;;1005800;73181500;1005800;CT;CENTO;0,01;4,86;4,86;C8: O-18;;;-------;0;0;
344;PARAF AUTO ATARRAXANTE PANELA PHILIPS 6,3X50 MM;;;;;000236;;1005800;73181500;1005800;CT;CENTO;0,01;0,57;0,57;C8: O-18;;;-------;0;0;
345;PARAF AUTO ATARRAXANTE PANELA PHILIPS 4,8X13 MM;;;;;000236;;1005800;73181400;1005800;CT;CENTO;0,01;11,93;11,93;C8: O-10;;;-------;0;0;
346;PARAF AUTO ATARRAXANTE PANELA PHILIPS 4,8X22 MM;;;;;000236;;1005800;73181400;1005800;CT;CENTO;0,01;7,4;7,4;C8: O-09;;;-------;0;0;
347;PARAF AUTO ATARRAXANTE PANELA PHILIPS 4,8X38 MM;;;;;000236;;1005800;73181500;1005800;CT;CENTO;0,01;3,01;3,01;C8: O-08;;;-------;0;0;
349;PARAF AUTO ATARRAXANTE PANELA PHILIPS 5,5X22 MM;;;;;000236;;1005800;73181400;1005800;CT;CENTO;0,01;8,04;8,04;C8: O-21;;;-------;0;0;
352;FITA CREPE 18 MM X 50 METROS;;KALA;;;000154;;;48114110;;UN;UNIDADE;1;7;7;C8: P-16;;;-------;0;0;
353;PARAF ALLEN AÇO (12.9) COM CABEÇA 8X20 MA ENEGRECIDO;;;;;000229;;1005800;73181500;1005800;CT;CENTO;0,01;4,86;4,86;C6: L-26;;;-------;0;0;
354;PARAF ALLEN AÇO (12.9) COM CABEÇA 8X30 MA ENEGRECIDO;;;;;000229;;1005800;73181500;1005800;CT;CENTO;0,01;3,08;3,08;C6: L-26;;;-------;0;0;
355;PARAF ALLEN AÇO (12.9) COM CABEÇA 8X50 MA ENEGRECIDO;;;;;000229;;1005800;73181500;1005800;CT;CENTO;0,01;3,46;3,16;C6: L-27;;;-------;0;0;
357;REBITE REPUXO ALUMINIO 3X12 MM;;;;;000372;;;83082000;;MIL;MILHEIRO;0,001;-0,988;-0,988;C8: P-28;;;-------;0;0;
359;ABRAÇADEIRA RSF 76X95 MM FITA 9 MM;;SUPRENS;;;000008;;1006200;73269090;1006200;UN;UNIDADE;1;130;130;C9: Q-25;;;-------;0;0;
360;ABRAÇADEIRA RSF 19X27 MM FITA 9 MM;;SUPRENS;;;000008;;1006200;73269090;1006200;UN;UNIDADE;1;495;495;C9: Q-30;;;-------;0;0;
364;PARAF AUTO ATARRAXANTE FIXAR PARALAMA C/ARRUELA 6,3X19 MM;;;;;000239;;1005800;73181500;1005800;CT;CENTO;0,01;23,85;23,85;C7: M-48;;;-------;0;0;
365;ARRUELA VEDAÇAO ALUMINIO 14X20X1,25 MM;;;;;000044;;1007300;76161000;1007300;CT;CENTO;0,01;0,01;0,01;;;;-------;0;0;
367;ARRUELA PRESSAO PESADA 12 MM ZINCADA BRANCA;;;;;000043;;1005800;73182100;1005800;CT;CENTO;0,01;34,44;34,44;C5: I-43;;;-------;0;0;
368;PORCA SEXT DUPLA FERRO (CLASSE 6) 8MA POLIDA CHAVE 13;;;;;000498;;1005800;73181600;1005800;CT;CENTO;0,01;0,78;0,78;;;;;0;0;
369;PARAF AUTO ATARRAXANTE PANELA PHILIPS 3,5X16 MM;;;;;000236;;1005800;73181500;1005800;CT;CENTO;0,01;5,06;5,06;C8: O-13;;;-------;0;0;
370;PARAF AUTO ATARRAXANTE PANELA PHILIPS 4,2X16 MM;;;;;000236;;1005800;73181500;1005800;CT;CENTO;0,01;9,43;9,43;C8: O-11;;;-------;0;0;
371;PARAF AUTO ATARRAXANTE PANELA PHILIPS 4,2X19 MM;;;;;000236;;1005800;73181400;1005800;CT;CENTO;0,01;24,19;24,19;C8: O-11;;;-------;0;0;
372;PARAF AUTO ATARRAXANTE PANELA PHILIPS 4,2X25 MM;;;;;000236;;1005800;73181500;1005800;CT;CENTO;0,01;8,26;8,26;C8: O-11;;;-------;0;0;
373;PARAF AUTO ATARRAXANTE PANELA PHILIPS 4,8X19 MM;;;;;000236;;1005800;73181500;1005800;CT;CENTO;0,01;33,46;33,46;C8: O-09;;;-------;0;0;
374;PARAF AUTO ATARRAXANTE PANELA PHILIPS 4,8X25 MM;;;;;000236;;1005800;73181500;1005800;CT;CENTO;0,01;9,05;9,05;C8: O-09;;;-------;0;0;
