level;category;description;
L;000001;PRODUTOS SEM CLASSIFICAÇÃO;
L;000002;***  OUTROS PRODUTOS SEM CLASSIFICAÇÃO ***;
L;000003;ABRAÇADEIRAS COM BORRACHA;
L;000004;ABRAÇADEIRAS ESCAPAMENTO;
L;000005;ABRAÇADEIRAS NORMIX / SIMPLEX;
L;000006;ABRAÇADEIRAS MANGOTINHO;
L;000007;ABRAÇADEIRAS NYLON;
L;000008;ABRAÇADEIRAS ROSCA SEM FIM;
L;000009;ABRAÇADEIRAS TERMINAL CARDAN;
L;000010;ABRAÇADEIRAS TIPO G;
L;000011;ABRAÇADEIRAS TIPO JANELA;
L;000012;ABRAÇADEIRAS TIPO T;
L;000013;ADAPTADORES PARA CATRACA E PNEUMATICAS;
L;000014;ADAPTADORES PARA MANGUEIRAS;
L;000015;ADAPTADORES PARA BOMBAS MANUAIS;
L;000016;ADESIVOS E COLAS EM GERAL;
L;000017;ADITIVOS PARA LIMPADOR DE PARABRISA;
L;000018;ADITIVOS PARA RADIADOR;
L;000019;ALICATES EM GERAL;
L;000020;ALMOTOLIAS;
L;000021;ANÉIS BORRACHA;
L;000022;ANÉIS ESCAPE;
L;000023;ANÉIS ORING - MILÍMETRO;
L;000024;ANÉIS ORING - POLEGADA;
L;000025;ANÉIS ORING - MILÍMETRO - REPOSIÇÃO CAIXA AZUL;
L;000026;ANÉIS ORING - POLEGADA - REPOSIÇÃO CAIXA VERMELHA;
L;000027;ANÉIS DE RETENÇÃO 3 PONTAS (W3P);
L;000028;ANÉIS DE RETENÇÃO PARA EIXO (WE);
L;000029;ANÉIS DE RETENÇÃO PARA FURO (WI);
L;000030;ARCOS DE SERRA E SERRAS MANUAIS;
L;000031;ARRUELAS CÔNCAVAS;
L;000032;ARRUELAS CÔNICAS;
L;000033;ARRUELAS ESTOFADOR;
L;000034;ARRUELAS LISAS;
L;000035;ARRUELAS LISAS ABA LARGA;
L;000036;ARRUELAS LISAS ESPECIAIS;
L;000037;ARRUELAS LISAS PARA GRAMPO DE MOLA;
L;000038;ARRUELAS LISAS PESADAS;
L;000039;ARRUELAS LISAS PESADAS ESPECIAIS;
L;000040;ARRUELAS ONDULADAS;
L;000041;ARRUELAS PINO MOLA;
L;000042;ARRUELAS DE PRESSÃO;
L;000043;ARRUELAS DE PRESSÃO PESADA;
L;000044;ARRUELAS DE VEDAÇÃO DE ALUMÍNIO;
L;000045;ARRUELAS DE VEDAÇÃO DE ALUMÍNIO ESPECIAIS;
L;000046;ARRUELAS DE VEDAÇÃO DE COBRE;
L;000047;ARRUELAS DE VEDAÇÃO DE FIBRA;
L;000048;ARRUELAS VULCANIZADAS;
L;000049;BARRAS ROSCADAS DE AÇO 1045;
L;000050;BARRAS ROSCADAS DE AÇO ASTM B7;
L;000051;BARRAS ROSCADAS DE INOX;
L;000052;BARRAS ROSCADAS ROSCA ESQUERDA;
L;000053;BICOS DE GRAXA;
L;000054;BICOS PARA LIMPEZA;
L;000055;BICOS PARA ENCHER PNEU;
L;000056;BOMBAS D AGUA;
L;000057;BOMBAS DE GRAXA;
L;000058;BOMBAS PARA SUCÇÃO DE ÓLEO;
L;000059;BOMBAS RÁPIDAS PARA LÍQUIDOS;
L;000060;BROCAS AÇO RÁPIDO;
L;000061;BROCAS AÇO RÁPIDO COM SUPORTE PARA SERRA COPO;
L;000062;BROCAS CHATA PARA MADEIRA;
L;000063;BROCAS ENCAIXE RÁPIDO SDS PLUS;
